dataset,strategy,seed,brier,ece,n_classes
adult,random,3,0.19246937,0.011255099431171445,2
adult,stratified,3,0.19103639,0.009051668859712427,2
adult,coreset,3,0.19139522,0.00831092824063656,2
adult,prototype,3,0.19802362,0.024593367480135873,2
adult,stratified_coreset,3,0.20173058,0.03334320913086969,2
adult,random,4,0.19187841,0.01486569463410462,2
adult,stratified,4,0.19275269,0.013524453059313222,2
adult,coreset,4,0.19141187,0.010549571629385222,2
adult,prototype,4,0.19549674,0.015272802502536178,2
adult,stratified_coreset,4,0.19905216,0.029196688900210255,2
connect-4,random,1,0.3133019,0.017144454246759398,3
connect-4,stratified,1,0.31618208,0.015828284835815443,3
connect-4,coreset,1,0.31616718,0.015580763977766037,3
connect-4,prototype,1,0.39427942,0.014952395212650297,3
connect-4,stratified_coreset,1,0.34026283,0.011860677137970933,3
connect-4,random,2,0.3132812,0.0123630543887615,3
connect-4,stratified,2,0.31958824,0.01899393002986906,3
connect-4,coreset,2,0.31372714,0.014502817291021354,3
connect-4,prototype,2,0.37468722,0.03912226190268991,3
connect-4,stratified_coreset,2,0.35255167,0.0220397433191538,3
connect-4,random,3,0.2986008,0.013598421531915653,3
connect-4,stratified,3,0.30487856,0.017299823009967807,3
connect-4,coreset,3,0.3067323,0.013018612220883345,3
connect-4,prototype,3,0.38443688,0.022772258132696142,3
connect-4,stratified_coreset,3,0.33428967,0.01368557472527027,3
connect-4,random,4,0.30022445,0.014782863581180564,3
connect-4,stratified,4,0.2989153,0.012448726168274884,3
connect-4,coreset,4,0.29278302,0.011987380549311623,3
connect-4,prototype,4,0.369864,0.044960128310322756,3
connect-4,stratified_coreset,4,0.33103883,0.020108938539028155,3
covertype,random,1,0.22991943,0.006287365186214441,7
covertype,stratified,1,0.23337308,0.01400992718935014,7
covertype,coreset,1,0.25394058,0.019923419880866988,7
covertype,stratified_coreset,1,0.29147086,0.03057729330360888,7
covertype,random,2,0.22092153,0.036205400013923646,7
covertype,stratified,2,0.28304097,0.03987196881771088,7
covertype,coreset,2,0.2501291,0.026159605884552007,7
covertype,stratified_coreset,2,0.29801118,0.03396718613803386,7
covertype,random,3,0.23047146,0.009120958971977244,7
covertype,stratified,3,0.21030332,0.006991076934337641,7
covertype,coreset,3,0.25154173,0.025522883242368725,7
covertype,stratified_coreset,3,0.2991921,0.05854357404708861,7
covertype,random,4,0.22223471,0.019159032961726163,7
covertype,stratified,4,0.2181063,0.007578541374206559,7
covertype,coreset,4,0.24679103,0.036548302304744734,7
covertype,stratified_coreset,4,0.2958306,0.044126004374027236,7
higgs,random,1,0.3738142,0.009588769934326424,2
higgs,stratified,1,0.37854928,0.018031911217048772,2
higgs,coreset,1,0.39465553,0.016727987225353708,2
higgs,prototype,1,0.40236765,0.03033300507217646,2
higgs,stratified_coreset,1,0.4090067,0.07529078068733216,2
higgs,random,2,0.37387243,0.017002147109061488,2
higgs,stratified,2,0.37623966,0.020045528961718087,2
higgs,coreset,2,0.4047754,0.04644632628485561,2
higgs,prototype,2,0.39668354,0.020168015596270565,2
higgs,stratified_coreset,2,0.42087892,0.08601414800621568,2
