,0.1,0.25,0.5,1.0
Random,21.49665909090909,37.932613636363634,73.14815909090909,168.01325
Stratified,21.582954545454545,38.01825,73.56138636363636,167.68590909090906
k-Center,24.921931818181818,46.124522727272726,89.22054545454546,196.25675
Prototype (NE),215.99054545454547,226.06977272727272,262.68718181818184,391.32786363636365
Per-Class k-Center,23.02359090909091,41.466454545454546,81.04299999999999,179.0481590909091
