dataset,coreset,prototype,random,stratified,stratified_coreset
higgs,0.5,0.25,0.25,0.1,0.25
MiniBooNE,0.1,0.5,0.1,0.1,0.25
covertype,0.1,0.1,0.1,0.1,0.25
bank-marketing,0.25,0.25,0.1,0.1,0.25
nomao,0.1,0.1,0.1,0.1,0.1
connect-4,0.5,1.0,0.25,0.25,0.5
jannis,0.25,0.25,0.1,0.1,0.25
volkert,0.25,0.5,0.1,0.1,0.5
mozilla4,0.1,0.25,0.1,0.1,0.25
adult,0.1,0.5,0.1,0.1,0.1
numerai28.6,0.1,0.1,0.1,0.1,0.1
