dataset,strategy,seed,accuracy,log_loss,macro_f1,balanced_acc,mcc,pr_auc,macro_auc,top2_accuracy,n_classes
credit-g,random,1,0.75,0.5183704259095974,0.6710093433346493,0.6595238095238095,0.35895661600973144,0.8757762014409958,0.7617857142857142,,2
credit-g,stratified,1,0.75,0.5183704259095974,0.6710093433346493,0.6595238095238095,0.35895661600973144,0.8757762014409958,0.7617857142857142,,2
credit-g,coreset,1,0.75,0.5183704259095974,0.6710093433346493,0.6595238095238095,0.35895661600973144,0.8757762014409958,0.7617857142857142,,2
credit-g,prototype,1,0.75,0.5183704259095974,0.6710093433346493,0.6595238095238095,0.35895661600973144,0.8757762014409958,0.7617857142857142,,2
credit-g,stratified_coreset,1,0.75,0.5183704259095974,0.6710093433346493,0.6595238095238095,0.35895661600973144,0.8757762014409958,0.7617857142857142,,2
credit-g,random,2,0.74,0.5044236857945014,0.6662816069824156,0.6571428571428571,0.34223546121629594,0.8824490057178864,0.779047619047619,,2
credit-g,stratified,2,0.74,0.5044236857945014,0.6662816069824156,0.6571428571428571,0.34223546121629594,0.8824490057178864,0.779047619047619,,2
credit-g,coreset,2,0.74,0.5044236857945014,0.6662816069824156,0.6571428571428571,0.34223546121629594,0.8824490057178864,0.779047619047619,,2
credit-g,prototype,2,0.74,0.5044236857945014,0.6662816069824156,0.6571428571428571,0.34223546121629594,0.8824490057178864,0.779047619047619,,2
credit-g,stratified_coreset,2,0.74,0.5044236857945014,0.6662816069824156,0.6571428571428571,0.34223546121629594,0.8824490057178864,0.779047619047619,,2
credit-g,random,3,0.79,0.5242069545163079,0.7271309771309771,0.7119047619047619,0.4688368264204187,0.8705201173902264,0.7591666666666665,,2
credit-g,stratified,3,0.79,0.5242069545163079,0.7271309771309771,0.7119047619047619,0.4688368264204187,0.8705201173902264,0.7591666666666665,,2
credit-g,coreset,3,0.79,0.5242069545163079,0.7271309771309771,0.7119047619047619,0.4688368264204187,0.8705201173902264,0.7591666666666665,,2
credit-g,prototype,3,0.79,0.5242069545163079,0.7271309771309771,0.7119047619047619,0.4688368264204187,0.8705201173902264,0.7591666666666665,,2
credit-g,stratified_coreset,3,0.79,0.5242069545163079,0.7271309771309771,0.7119047619047619,0.4688368264204187,0.8705201173902264,0.7591666666666665,,2
credit-g,random,4,0.75,0.5123223886516954,0.6791169297907842,0.6690476190476191,0.36816239009631835,0.87812241080009,0.7739285714285715,,2
credit-g,stratified,4,0.75,0.5123223886516954,0.6791169297907842,0.6690476190476191,0.36816239009631835,0.87812241080009,0.7739285714285715,,2
credit-g,coreset,4,0.75,0.5123223886516954,0.6791169297907842,0.6690476190476191,0.36816239009631835,0.87812241080009,0.7739285714285715,,2
credit-g,prototype,4,0.75,0.5123223886516954,0.6791169297907842,0.6690476190476191,0.36816239009631835,0.87812241080009,0.7739285714285715,,2
credit-g,stratified_coreset,4,0.75,0.5123223886516954,0.6791169297907842,0.6690476190476191,0.36816239009631835,0.87812241080009,0.7739285714285715,,2
pendigits,random,1,0.9949977262391997,0.025743069633629198,0.9950291664470434,0.9949710767222075,0.9944442696349023,0.9990069256822494,0.9995252390790226,0.9986357435197817,10
pendigits,stratified,1,0.9949977262391997,0.025743069633629198,0.9950291664470434,0.9949710767222075,0.9944442696349023,0.9990069256822494,0.9995252390790226,0.9986357435197817,10
pendigits,coreset,1,0.9949977262391997,0.025743069633629198,0.9950291664470434,0.9949710767222075,0.9944442696349023,0.9990069256822494,0.9995252390790226,0.9986357435197817,10
