strategy,mean_auc_valid_only,mean_auc_fail_as_zero,mean_auc_fail_as_baseline,total_failures,n_dataset_strategy_pairs
random,0.888114162728319,0.888114162728319,0.888114162728319,0,14
stratified,0.8875710128898165,0.8875710128898165,0.8875710128898165,0,14
coreset,0.8839787223581606,0.8839787223581606,0.8839787223581606,0,14
stratified_coreset,0.877187188708482,0.877187188708482,0.877187188708482,0,14
prototype,0.8757403728807935,0.8757403728807935,0.8757403728807935,0,14
