,class_0_auc,class_1_auc,class_2_auc,class_3_auc,class_4_auc,class_5_auc,class_6_auc,class_7_auc,class_8_auc,class_9_auc
Random,0.9539,0.9468,0.9921,0.9968,0.9785,0.9846,0.9932,,,
Stratified,0.9486,0.9414,0.9924,0.9972,0.9728,0.9834,0.9933,,,
k-Center,0.9404,0.9313,0.9922,0.9984,0.964,0.9835,0.9939,,,
Prototype (NE),0.7953,0.7973,0.9811,0.9908,0.9723,0.9614,0.9816,,,
Per-Class k-Center,0.93,0.9199,0.9872,0.9951,0.9767,0.9747,0.9923,,,
