dataset,strategy,budget_fraction,seed,brier,ece
bank-marketing,stratified,0.25,2,0.13549666,0.0165244616214015
bank-marketing,random,0.25,3,0.13342483,0.015256487746189209
bank-marketing,stratified,0.25,3,0.13036577,0.014851069798046087
bank-marketing,random,0.25,4,0.13247707,0.015335143883023086
bank-marketing,stratified,0.25,4,0.1332332,0.015355572827843379
bank-marketing,random,0.5,1,0.13250116,0.020674602986869222
bank-marketing,stratified,0.5,1,0.12903406,0.009913482663824039
bank-marketing,random,0.5,2,0.12771787,0.020845755600312488
bank-marketing,stratified,0.5,2,0.12986805,0.013853396662897857
bank-marketing,random,0.5,3,0.12877952,0.015923004285577098
bank-marketing,stratified,0.5,3,0.12820432,0.018408124312555764
bank-marketing,random,0.5,4,0.130654,0.021433911918127258
bank-marketing,stratified,0.5,4,0.12868425,0.015519845477283417
bank-marketing,random,1.0,1,0.12645426,0.014110798711155111
bank-marketing,stratified,1.0,1,0.12579338,0.015724054455219957
bank-marketing,random,1.0,2,0.1247963,0.018090932357392647
bank-marketing,stratified,1.0,2,0.12581953,0.018198605722806554
bank-marketing,random,1.0,3,0.12487366,0.012062485262349517
bank-marketing,stratified,1.0,3,0.12526824,0.017558279684851366
bank-marketing,random,1.0,4,0.12855358,0.021792483845496816
bank-marketing,stratified,1.0,4,0.12715785,0.01538196962747369
higgs,prototype,0.1,1,0.45006016,0.030701268754899497
higgs,prototype,0.1,2,0.45204386,0.033067881399393075
higgs,prototype,0.1,3,0.45507792,0.055593824577331544
higgs,prototype,0.1,4,0.44781488,0.05032320952415466
higgs,prototype,0.25,1,0.42422017,0.029440741446614262
higgs,prototype,0.25,2,0.42320302,0.03977959413602949
higgs,prototype,0.25,3,0.42332235,0.05175276791751385
higgs,prototype,0.25,4,0.4226164,0.037312039060890693
higgs,prototype,0.5,1,0.4040993,0.02585650594830514
higgs,prototype,0.5,2,0.40701273,0.018100441989302635
higgs,prototype,0.5,3,0.41446757,0.031184836786985384
higgs,prototype,0.5,4,0.4192296,0.024448522976785892
higgs,prototype,1.0,1,0.40236765,0.03033300507217646
higgs,prototype,1.0,2,0.39668354,0.020168015596270565
higgs,prototype,1.0,3,0.40026182,0.028890207640826705
higgs,prototype,1.0,4,0.39834297,0.021221726188063634
MiniBooNE,prototype,0.1,1,0.30232057,0.10530589858368038
MiniBooNE,prototype,0.1,2,0.27544457,0.04629970086812973
MiniBooNE,prototype,0.1,3,0.3041932,0.09136669552326203
MiniBooNE,prototype,0.1,4,0.3622951,0.14047038641385734
MiniBooNE,prototype,0.25,1,0.19522734,0.044390701492503286
MiniBooNE,prototype,0.25,2,0.22674575,0.033452911602333185
MiniBooNE,prototype,0.25,3,0.21533531,0.029435581286996606
MiniBooNE,prototype,0.25,4,0.24146433,0.0663522484280169
MiniBooNE,prototype,0.5,1,0.14322795,0.025994093209505083
MiniBooNE,prototype,0.5,2,0.14922518,0.04537927923351525
MiniBooNE,prototype,0.5,3,0.15487583,0.03780480265244841
MiniBooNE,prototype,0.5,4,0.15558267,0.040003090907633314
MiniBooNE,prototype,1.0,1,0.1348506,0.02918360867910087
MiniBooNE,prototype,1.0,2,0.13226593,0.044162136185541746
MiniBooNE,prototype,1.0,3,0.12510403,0.03302187318876386
MiniBooNE,prototype,1.0,4,0.12715758,0.028704842052236196
bank-marketing,prototype,0.1,1,0.21124296,0.1457245376092478
bank-marketing,prototype,0.1,2,0.19286357,0.12844292286144518
bank-marketing,prototype,0.1,3,0.19600607,0.12333813089810221
bank-marketing,prototype,0.1,4,0.21762161,0.15171531441348668
bank-marketing,prototype,0.25,1,0.17467718,0.07856227116755886
bank-marketing,prototype,0.25,2,0.17711958,0.09810335875664825
bank-marketing,prototype,0.25,3,0.16450047,0.07550425425025196
bank-marketing,prototype,0.25,4,0.16747478,0.07308676677059708
bank-marketing,prototype,0.5,1,0.1493525,0.055763923567697604
bank-marketing,prototype,0.5,2,0.14825319,0.054871335609582336
bank-marketing,prototype,0.5,3,0.15035282,0.0547949106043305
bank-marketing,prototype,0.5,4,0.14316905,0.041477399270058356
bank-marketing,prototype,1.0,1,0.13057935,0.016547978911798083
bank-marketing,prototype,1.0,2,0.1338007,0.01464209674674135
bank-marketing,prototype,1.0,3,0.13215956,0.021977507589519003
bank-marketing,prototype,1.0,4,0.13252988,0.020976284390102636
higgs,coreset,0.1,1,0.4345297,0.03915934177935124
higgs,coreset,0.1,2,0.45775914,0.09926078821569682
higgs,coreset,0.1,3,0.45504814,0.05580849822759626
higgs,coreset,0.1,4,0.42641908,0.01458882344141602
higgs,coreset,0.25,1,0.41498092,0.00910631913729013
higgs,coreset,0.25,2,0.46357208,0.10769868107549847
higgs,coreset,0.25,3,0.44618908,0.08461421588137745
higgs,coreset,0.25,4,0.43448856,0.063541170950979
higgs,coreset,0.5,1,0.40690756,0.029517249178141372
higgs,coreset,0.5,2,0.4328419,0.07165579487383365
higgs,coreset,0.5,3,0.42343584,0.04876535664200781
higgs,coreset,0.5,4,0.4123545,0.03898221421837808
higgs,coreset,1.0,1,0.39465553,0.016727987225353708
higgs,coreset,1.0,2,0.4047754,0.04644632628485561
higgs,coreset,1.0,3,0.38958165,0.02466605969071389
higgs,coreset,1.0,4,0.39003736,0.022468243503570573
MiniBooNE,coreset,0.1,1,0.1562251,0.023059122405946264
MiniBooNE,coreset,0.1,2,0.1527736,0.019036074370145793
MiniBooNE,coreset,0.1,3,0.17537962,0.0754696096720174
MiniBooNE,coreset,0.1,4,0.14373271,0.03258734734579921
MiniBooNE,coreset,0.25,1,0.119710766,0.007279374325182283
MiniBooNE,coreset,0.25,2,0.12637758,0.01572315556704998
MiniBooNE,coreset,0.25,3,0.11836426,0.010296216501854357
MiniBooNE,coreset,0.25,4,0.13284974,0.034945818432699886
MiniBooNE,coreset,0.5,1,0.11166315,0.013578503904119132
MiniBooNE,coreset,0.5,2,0.11921116,0.019500052393972872
MiniBooNE,coreset,0.5,3,0.107055165,0.00920186933167279
MiniBooNE,coreset,0.5,4,0.118272826,0.031896680291369564
MiniBooNE,coreset,1.0,1,0.10252009,0.014005633316934111
MiniBooNE,coreset,1.0,2,0.107514635,0.014799802844226356
MiniBooNE,coreset,1.0,3,0.10487299,0.015010969345457844
MiniBooNE,coreset,1.0,4,0.1063485,0.024431398201733835
covertype,coreset,0.1,1,0.38425463,0.0468762079000473
covertype,coreset,0.1,2,0.37880138,0.038180509790778194
covertype,coreset,0.1,3,0.39613414,0.06009821146428584
covertype,coreset,0.1,4,0.40610376,0.08574420880973341
covertype,coreset,0.25,1,0.34559506,0.07604901210665703
covertype,coreset,0.25,2,0.3697439,0.11183079122900963
covertype,coreset,0.25,3,0.34236518,0.06060161342322826
covertype,coreset,0.25,4,0.33895224,0.06528011780083179
covertype,coreset,0.5,1,0.29796416,0.04520971681177616
covertype,coreset,0.5,2,0.3113008,0.0762188563466072
covertype,coreset,0.5,3,0.29799107,0.05801035755574706
covertype,coreset,0.5,4,0.3085519,0.07304403101503845
covertype,coreset,1.0,1,0.25394058,0.019923419880866988
covertype,coreset,1.0,2,0.2501291,0.026159605884552007
covertype,coreset,1.0,3,0.25154173,0.025522883242368725
covertype,coreset,1.0,4,0.24679103,0.036548302304744734
bank-marketing,coreset,0.1,1,0.1504583,0.013486644302569078
bank-marketing,coreset,0.1,2,0.14807115,0.006341309367087803
bank-marketing,coreset,0.1,3,0.145352,0.03802482696831141
bank-marketing,coreset,0.1,4,0.15266702,0.027037554669041397
bank-marketing,coreset,0.25,1,0.13719434,0.007796255676593842
bank-marketing,coreset,0.25,2,0.13373415,0.014024998348799084
bank-marketing,coreset,0.25,3,0.13576332,0.01967368229365146
bank-marketing,coreset,0.25,4,0.1377441,0.014439735665009454
bank-marketing,coreset,0.5,1,0.13273291,0.011254865938990596
bank-marketing,coreset,0.5,2,0.12786402,0.007584878916534045
bank-marketing,coreset,0.5,3,0.13109837,0.00504210248159437
bank-marketing,coreset,0.5,4,0.12880225,0.00548606112238502
bank-marketing,coreset,1.0,1,0.12605426,0.009365513190597434
bank-marketing,coreset,1.0,2,0.12343046,0.00578618800611764
bank-marketing,coreset,1.0,3,0.12612087,0.007234078357503912
bank-marketing,coreset,1.0,4,0.124563,0.008060660666277272
higgs,stratified_coreset,0.1,1,0.5129844,0.15184804657325146
higgs,stratified_coreset,0.1,2,0.49212724,0.15425079219341278
higgs,stratified_coreset,0.1,3,0.50125325,0.16377092132121326
higgs,stratified_coreset,0.1,4,0.5080487,0.18151219698153437
higgs,stratified_coreset,0.25,1,0.46238446,0.13454688872694967
higgs,stratified_coreset,0.25,2,0.46433827,0.12914848166219892
higgs,stratified_coreset,0.25,3,0.4932276,0.17050647018849846
higgs,stratified_coreset,0.25,4,0.48299727,0.16740958167351783
higgs,stratified_coreset,0.5,1,0.4314025,0.09479013075232508
higgs,stratified_coreset,0.5,2,0.43806934,0.0964406089566648
higgs,stratified_coreset,0.5,3,0.4567256,0.13539400814473626
higgs,stratified_coreset,0.5,4,0.4413784,0.11021873214468358
higgs,stratified_coreset,1.0,1,0.4090067,0.07529078068733216
higgs,stratified_coreset,1.0,2,0.42087892,0.08601414800621568
higgs,stratified_coreset,1.0,3,0.41603985,0.07964360631778836
higgs,stratified_coreset,1.0,4,0.41602993,0.09137252796329559
