,sampling_time,inference_time,total_time
Random,0.0008863636363636364,162.97120454545455,162.9720909090909
Stratified,0.012795454545454547,165.19393181818182,165.20672727272725
k-Center,31.33,161.13320454545453,192.46320454545454
Prototype (NE),211.77365909090912,167.27952272727273,379.0531818181818
Per-Class k-Center,13.795454545454545,161.96675000000002,175.76220454545455
